"especie"	"rotacao"	"regiao"	"fazenda"	"projeto"	"estrato"	"talhao"	"idade"	"ano"	"pagina"	"arvore"	"dap"	"ht"	"vol"	"voltot"
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74402	1	21.01	26.41	392.36471	392.468
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74502	1	19.42	25.39	351.187569	352.1834
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74603	1	17.19	25	268.057611	268.5181
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74704	1	15.6	25	219.528058	220.5352
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74704	2	15.92	25.25	239.436614	239.4366
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74805	1	13.37	18.95	115.259827	116.5266
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74805	2	14.96	22.7	178.209533	178.8213
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74905	1	12.41	21.1	126.900429	127.4169
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	74905	2	11.78	20.06	107.153403	107.552
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	75006	1	10.5	19.09	65.26859	66.79798
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	75006	2	10.82	19.13	76.509751	77.44095
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	75006	3	9.55	19.45	63.68218	65.06853
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	75104	1	7.64	16.77	31.046628	33.70477
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	75104	2	9.23	15.89	48.792146	49.328
"E.grandis"	1	"Bofete"	6	23	612	8	8.2	92	75202	1	6.05	12.06	18.073983	19.08108
"E.grandis"	1	"Bofete"	6	23	612	9	8.1	92	74201	1	26.74	32.93	758.684176	759.2645
"E.grandis"	1	"Bofete"	6	23	612	9	8.1	92	74301	1	23.24	32.18	588.945358	588.9454
"E.grandis"	1	"Bofete"	6	23	612	9	8.1	92	74402	2	22.6	31.58	563.507855	563.9404
"E.grandis"	1	"Bofete"	6	23	612	9	8.1	92	74502	2	20.69	30.09	403.431461	404.0118
